danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.7328,0.7579,-4.9626,0.053649999999999996,0.13084,0.00265537,0.18897999999999998,0.6544000000000001,120.9396
0.6939,0.7538,-7.3153999999999995,0.0906,0.0762733,0.0019549339999999998,0.20266,0.36399,126.6462
0.6964285714285714,0.7867142857142857,-5.623571428571429,0.0687,0.19619857142857144,0.15048742857142858,0.10462857142857142,0.3777142857142857,124.5737142857143
0.32320000000000004,0.3861,-11.3477,0.0332,0.5405800000000001,0.00017735,0.15728,0.23426,137.4241
0.6419,0.6641,-7.562399999999999,0.041870000000000004,0.271202,0.019406431999999998,0.248,0.6909,106.43289999999999
0.6918333333333333,0.5846666666666667,-7.212666666666667,0.031599999999999996,0.37748333333333334,0.0005383233333333333,0.12228333333333334,0.6578333333333334,129.05183333333335
0.545,0.661,-6.651999999999999,0.09593,0.21480800000000003,0.002232383,0.28453,0.3883,132.852
0.72775,0.77,-8.34,0.046825000000000006,0.1518,0.21551842499999999,0.229,0.56525,119.51325
0.6152,0.7272000000000001,-4.2691,0.10505,0.14400000000000002,0.00011567999999999999,0.23769999999999997,0.5820000000000001,135.3076
0.5843,0.4676,-9.8529,0.05038,0.26728300000000005,0.007429458,0.09311,0.2878,132.4456
0.5901,0.595,-6.3432,0.06187,0.336587,0.01218,0.23698000000000002,0.34550000000000003,137.5171
0.6479999999999999,0.788,-6.0925,0.0353,0.35575,0.00022160000000000002,0.46599999999999997,0.4948,124.963
0.44480000000000003,0.524,-8.133799999999999,0.030819999999999997,0.2402415,0.06784764,0.17993,0.31894999999999996,108.5738
0.24433333333333332,0.4653333333333333,-11.394166666666669,0.03453333333333333,0.27308333333333334,9.751833333333333e-05,0.20201666666666665,0.3066666666666667,131.0761666666667
0.5081,0.875,-4.974600000000001,0.048010000000000004,0.0029715,0.010030126,0.18059,0.6889000000000001,143.5611
0.5265,0.5784,-6.5668999999999995,0.10344,0.3017,2.65e-05,0.15176,0.3915,111.96010000000001
0.7441428571428571,0.7298571428571429,-6.556571428571429,0.03981428571428571,0.14173571428571427,0.12880925714285713,0.17592857142857143,0.43042857142857144,119.99171428571428
0.6808,0.5244,-6.6539,0.05566,0.54317,2.62e-07,0.13346,0.6526,105.67339999999999
0.7179,0.5121,-12.673100000000002,0.04317,0.335,0.1404889,0.22000000000000003,0.8158,117.3887
0.6503,0.8252,-6.0009,0.08093,0.076863,0.070191,0.30174,0.3689,134.5574
0.6059,0.5312,-8.421299999999999,0.044590000000000005,0.5605561,0.13512529999999998,0.19745,0.5298,129.1686
0.5214000000000001,0.29091,-11.134,0.11374,0.7563,0.00054538,0.12453,0.30907,135.1148
0.752,0.8416,-5.529999999999999,0.05142,0.044444,0.150517281,0.15138000000000001,0.2811,129.69310000000002
0.791,0.674,-6.492,0.0521,0.0934,5.59e-05,0.0639,0.224,126.936
0.5166000000000001,0.7892,-4.5545,0.04757,0.07705599999999999,0.006032978,0.1532,0.48200000000000004,143.97840000000002
0.6816000000000001,0.6104,-8.0636,0.06446,0.19112,6.9400000000000005e-06,0.08392,0.6609999999999999,95.7272
