song_id,song_duration,song_name,song_popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,album_id,album_name,album_release_date,artist_id,artist_name
39sDitIeCMrVX2QyXHY46t,217000,Blue Hair,86,0.751,0.72,-6.376,0.0303,0.554,0.0497,0.258,0.884,135.73,5kFjYk3umY8Pu1lymIJLVy,Death of a Party Girl,2018-05-08,0Y6dVaC9DZtPNH4591M42W,TV Girl
72cGBEqu7RitIOoACXYjfR,227760,The Blonde,79,0.501,0.547,-7.961,0.0243,0.225,0.912,0.288,0.225,87.692,4Hai0uVzRbyTSaTPzxTY4e,French Exit,2014-06-05,0Y6dVaC9DZtPNH4591M42W,TV Girl
4NUhcsz9E1LrBe8nXLZqzp,152000,It Almost Worked,75,0.673,0.886,-4.347,0.0282,0.302,0.348,0.0792,0.679,140.586,4p3eRdoK7W7z0tz8OWA3JM,The Night in Question: French Exit Outtakes,2020-05-01,0Y6dVaC9DZtPNH4591M42W,TV Girl
7JEzAlwHhCD2M1cYE6BeqJ,227000,Loving Machine,75,0.58,0.69,-9.52,0.0267,0.568,0.0221,0.226,0.922,89.981,4oL7pMxnb04uuRI7ReXmuh,Who Really Cares,2016-02-25,0Y6dVaC9DZtPNH4591M42W,TV Girl
21LkHnuxPxVrOZ5gCaG7aM,209346,Birds Dont Sing,72,0.605,0.942,-4.549,0.0655,0.016,0.0,0.137,0.8,106.562,4Hai0uVzRbyTSaTPzxTY4e,French Exit,2014-06-05,0Y6dVaC9DZtPNH4591M42W,TV Girl
263KsGZODTZouh3RFGNaLX,194453,Louise,72,0.727,0.919,-4.562,0.0285,0.165,0.0111,0.306,0.92,115.816,4Hai0uVzRbyTSaTPzxTY4e,French Exit,2014-06-05,0Y6dVaC9DZtPNH4591M42W,TV Girl
53mChDyESfwn9Dz8poHRf6,205650,Taking What's Not Yours,70,0.712,0.914,-5.675,0.101,0.65,0.0,0.0579,0.697,100.406,4oL7pMxnb04uuRI7ReXmuh,Who Really Cares,2016-02-25,0Y6dVaC9DZtPNH4591M42W,TV Girl
5XeFesFbtLpXzIVDNQP22n,183956,I Wanna Be Yours,95,0.464,0.417,-9.345,0.0256,0.136,0.022,0.0974,0.479,67.528,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
0BxE4FqsDD1Ot4YuBXwAPp,253586,505,87,0.526,0.866,-5.822,0.0568,0.00287,7.78e-05,0.0945,0.248,140.266,1XkGORuUX2QGOEIL4EbJKm,Favourite Worst Nightmare,2007-04-22,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
086myS9r57YsLbJpU0TgK9,161123,Why'd You Only Call Me When You're High?,90,0.691,0.631,-6.478,0.0368,0.0483,1.13e-05,0.104,0.8,92.004,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
5FVd6KXrgO9B3JPmC8OPst,272394,Do I Wanna Know?,90,0.548,0.532,-7.596,0.0323,0.186,0.000263,0.217,0.405,85.03,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
2AT8iROs4FQueDv2c8q2KE,201726,R U Mine?,84,0.288,0.758,-5.692,0.0371,0.00616,0.0,0.303,0.619,97.094,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
2x8evxqUlF0eRabbW2JBJd,183893,Fluorescent Adolescent,81,0.654,0.828,-5.377,0.0281,0.00146,0.000144,0.122,0.79,112.056,1XkGORuUX2QGOEIL4EbJKm,Favourite Worst Nightmare,2007-04-22,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
0NdTUS4UiNYCNn5FgVqKQY,193030,Snap Out Of It,81,0.728,0.638,-6.455,0.0336,0.249,0.0,0.116,0.872,130.014,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
7nzsY8vlnKdvGOEE0rjAXZ,207356,Arabella,79,0.579,0.558,-6.986,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
2LGdO5MtFdyphi2EihANZG,257563,Knee Socks,78,0.665,0.542,-8.323,0.033,0.123,0.00291,0.342,0.587,97.975,78bpIziExqiI9qztvNFlQu,AM,2013-09-09,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
2fyIS6GXMgUcSv4oejx63f,175440,Mardy Bum,77,0.634,0.599,-5.447,0.0365,0.0288,0.0,0.197,0.312,112.215,50Zz8CkIhATKUlQMbHO3k1,"Whatever People Say I Am, That's What I'm Not",2006-01-29,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys
6IbnUaczZBT34DhaD6S18F,154666,Bubblegum Bitch,78,0.495,0.856,-5.123,0.0311,0.000219,0.0,0.103,0.609,158.024,49kf7gWWtReFwPcCNsvyUf,Electra Heart (Deluxe),2012-04-30,6CwfuxIqcltXDGjfZsMd9A,MARINA
411Hvulc0PrGQLOHljTYed,201186,Are You Satisfied?,67,0.667,0.728,-4.969,0.0405,0.32,0.0,0.0765,0.798,124.001,1CtDa7pVfLF4u2ZadRTWz7,The Family Jewels,2010-02-15,6CwfuxIqcltXDGjfZsMd9A,MARINA
4sNwdacKyi2S26WrRtNama,182586,Oh No!,74,0.77,0.896,-3.971,0.039,0.0539,0.0,0.243,0.964,126.999,1CtDa7pVfLF4u2ZadRTWz7,The Family Jewels,2010-02-15,6CwfuxIqcltXDGjfZsMd9A,MARINA
4sOX1nhpKwFWPvoMMExi3q,221075,Primadonna,74,0.66,0.689,-2.671,0.0337,0.0884,0.0,0.0922,0.427,127.98,49kf7gWWtReFwPcCNsvyUf,Electra Heart (Deluxe),2012-04-30,6CwfuxIqcltXDGjfZsMd9A,MARINA
2sEk5R8ErGIFxbZ7rX6S2S,221493,How to Be a Heartbreaker,71,0.69,0.897,-4.696,0.0506,0.0142,0.0,0.108,0.849,140.05,49kf7gWWtReFwPcCNsvyUf,Electra Heart (Deluxe),2012-04-30,6CwfuxIqcltXDGjfZsMd9A,MARINA
4Zcz6saEkOII3PlXd9gN3o,215960,Hermit the Frog,68,0.609,0.679,-4.545,0.0312,0.243,0.0,0.199,0.487,122.034,1CtDa7pVfLF4u2ZadRTWz7,The Family Jewels,2010-02-15,6CwfuxIqcltXDGjfZsMd9A,MARINA
5B8N5rPOmTVVGpuBMK2Vby,254400,Teen Idle,68,0.571,0.651,-6.26,0.0349,0.242,0.0,0.0938,0.374,121.202,49kf7gWWtReFwPcCNsvyUf,Electra Heart (Deluxe),2012-04-30,6CwfuxIqcltXDGjfZsMd9A,MARINA
7ees95rN2dQT95yZdtWkzE,182160,Seventeen,62,0.771,0.816,-5.755,0.031,0.326,0.0,0.136,0.799,130.016,3vcPZf2pYrjqrHNVkPTDVL,The Family Jewels (Deluxe),2010-02-15,6CwfuxIqcltXDGjfZsMd9A,MARINA
